cwe_id,cwe_name,description,extended_description,url,is_category,bad_code
cwe-102,struts: duplicate validation forms,"the product uses multiple validation forms with the same name, which might cause the struts validator to validate a form that the programmer does not expect.","if two validation forms have the same name, the struts validator arbitrarily chooses one of the forms to use for input validation and discards the other. this decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.
         ",https://cwe.mitre.org/data/definitions/102.html,FALSE," language:xml<form-validation><formset><form name=""projectform""> ... </form><form name=""projectform""> ... </form></formset></form-validation>"
cwe-103,struts: incomplete validate() method definition,"the product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().","if the code does not call super.validate(), the validation framework cannot check the contents of the form against a validation form. in other words, the validation framework will be disabled for the given form.
         ",https://cwe.mitre.org/data/definitions/103.html,FALSE," language:javapublic class registrationform extends org.apache.struts.validator.validatorform {// private variables for registration formprivate string name;private string email;...public registrationform() {super();}public actionerrors validate(actionmapping mapping, httpservletrequest request) {actionerrors errors = new actionerrors();if (getname() == null || getname().length() < 1) {errors.add(""name"", new actionmessage(""error.name.required""));}return errors;}// getter and setter methods for private variables...}"
cwe-104,struts: form bean does not extend validation class,"if a form bean does not extend an actionform subclass of the validator framework, it can expose the application to other weaknesses related to insufficient input validation.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/104.html,FALSE, language:javapublic class registrationform extends org.apache.struts.action.actionform {// private variables for registration formprivate string name;private string email;...public registrationform() {super();}// getter and setter methods for private variables...}
cwe-106,struts: plug-in framework not in use,"when an application does not use an input validation framework such as the struts validator, there is a greater risk of introducing weaknesses related to insufficient input validation.","
            unchecked input is the leading cause of vulnerabilities in j2ee applications. unchecked input leads to cross-site scripting, process control, and sql injection vulnerabilities, among others.
            although j2ee applications are not generally susceptible to memory corruption attacks, if a j2ee application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the j2ee application to launch a buffer overflow attack.
         
         ",https://cwe.mitre.org/data/definitions/106.html,FALSE, language:javapublic class registrationform extends org.apache.struts.action.actionform {// private variables for registration formprivate string name;private string email;...public registrationform() {super();}// getter and setter methods for private variables...}
cwe-109,struts: validator turned off,"automatic filtering via a struts bean has been turned off, which disables the struts validator and custom validation logic. this exposes the application to other weaknesses related to insufficient input validation.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/109.html,FALSE," language:xml<action path=""/download""type=""com.website.d2.action.downloadaction""name=""downloadform""scope=""request""input="".download""validate=""false""></action>"
cwe-11,asp.net misconfiguration: creating debug binary,debugging messages help attackers learn about the system and plan a form of attack.,"asp .net applications can be configured to produce debug binaries. these binaries give detailed debugging messages and should not be used in production environments. debug binaries are meant to be used in a development or testing environment and can pose a security risk if they are deployed to production.
         ",https://cwe.mitre.org/data/definitions/11.html,FALSE," language:xml<?xml version=""1.0"" encoding=""utf-8"" ?><configuration><system.web><compilationdefaultlanguage=""c#""debug=""true""/>...</system.web></configuration>"
cwe-117,improper output neutralization for logs,the product does not neutralize or incorrectly neutralizes output that is written to logs.,"
            this can allow an attacker to forge log entries or inject malicious content into logs.
            log forging vulnerabilities occur when:
               
                  data enters an application from an untrusted source.
                  the data is written to an application or system log file.
               
         
         ",https://cwe.mitre.org/data/definitions/117.html,FALSE," language:javastring val = request.getparameter(""val"");try {int value = integer.parseint(val);}catch (numberformatexception) {log.info(""failed to parse val = "" + val);}..."
cwe-119,improper restriction of operations within the bounds of a memory buffer,"the product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. this may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/119.html,FALSE," language:cvoid host_lookup(char *user_supplied_addr){struct hostent *hp;in_addr_t *addr;char hostname[64];in_addr_t inet_addr(const char *cp);/*routine that ensures user_supplied_addr is in the right format for conversion */validate_addr_form(user_supplied_addr);addr = inet_addr(user_supplied_addr);hp = gethostbyaddr( addr, sizeof(struct in_addr), af_inet);strcpy(hostname, hp->h_name);}"
cwe-12,asp.net misconfiguration: missing custom error page,an asp .net application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,"
            
         
         ",https://cwe.mitre.org/data/definitions/12.html,FALSE," language:asp.net<customerrors mode=""off"" />"
cwe-120,buffer copy without checking size of input ('classic buffer overflow'),"the product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.","a buffer overflow condition exists when a product attempts to put more data in a buffer than it can hold, or when it attempts to put data in a memory area outside of the boundaries of a buffer. the simplest type of error, and the most common cause of buffer overflows, is the ""classic"" case in which the product copies the buffer without restricting how much is copied. other variants exist, but the existence of a classic overflow strongly suggests that the programmer is not considering even the most basic of security protections.
         ",https://cwe.mitre.org/data/definitions/120.html,FALSE," language:cchar last_name[20];printf (""enter your last name: "");scanf (""%s"", last_name);"
cwe-13,asp.net misconfiguration: password in configuration file,storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,"
            
         
         ",https://cwe.mitre.org/data/definitions/13.html,FALSE," language:asp.net...<connectionstrings><add name=""ud_dev"" connectionstring=""connectdb=udb; uid=db2admin; pwd=password; dbalias=udb;"" providername=""system.data.odbc"" /></connectionstrings>..."
cwe-134,use of externally-controlled format string,"the product uses a function that accepts a format string as an argument, but the format string originates from an external source.","
            when an attacker can modify an externally-controlled format string, this can lead to buffer overflows, denial of service, or data representation problems.
            it should be noted that in some circumstances, such as internationalization, the set of format strings is externally controlled by design. if the source of these format strings is trusted (e.g. only contained in library files that are only modifiable by the system administrator), then the external control might not itself pose a vulnerability.
         
         ",https://cwe.mitre.org/data/definitions/134.html,FALSE," language:c#include <stdio.h>void printwrapper(char *string) {printf(string);}int main(int argc, char **argv) {char buf[5012];memcpy(buf, argv[1], 5012);printwrapper(argv[1]);return (0);}"
